"Notes","Sex","Sex Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"Male","M","2019","2019","45-54 years","45-54",939,20171966,4.7,4.4,5.0,0.2,0.5%
,"Male","M","2019","2019","55-64 years","55-64",3084,20499219,15.0,14.5,15.6,0.3,1.6%
,"Male","M","2019","2019","65-74 years","65-74",4694,14699579,31.9,31.0,32.8,0.5,2.4%
,"Male","M","2019","2019","75-84 years","75-84",3827,6998223,54.7,53.0,56.4,0.9,2.0%
,"Male","M","2019","2019","85+ years","85+",1569,2376488,66.0,62.8,69.3,1.7,0.8%
,"Male","M","2019","2019","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suppressed
,"Male","M","2020","2020","< 1 year","1",Suppressed,1908141,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Male","M","2020","2020","1-4 years","1-4",10,7953016,0.1,0.1,0.2,0.0,0.0%
,"Male","M","2020","2020","5-14 years","5-14",21,20941721,0.1,0.1,0.2,0.0,0.0%
,"Male","M","2020","2020","15-24 years","15-24",51,21727443,0.2,0.2,0.3,0.0,0.0%
,"Male","M","2020","2020","25-34 years","25-34",124,23444379,0.5,0.4,0.6,0.0,0.1%
,"Male","M","2020","2020","35-44 years","35-44",318,21045868,1.5,1.3,1.7,0.1,0.2%
,"Male","M","2020","2020","45-54 years","45-54",890,19924692,4.5,4.2,4.8,0.1,0.5%
,"Male","M","2020","2020","55-64 years","55-64",3003,20489434,14.7,14.1,15.2,0.3,1.5%
,"Male","M","2020","2020","65-74 years","65-74",4779,15183540,31.5,30.6,32.4,0.5,2.4%
,"Male","M","2020","2020","75-84 years","75-84",3699,7223275,51.2,49.6,52.9,0.8,1.9%
,"Male","M","2020","2020","85+ years","85+",1498,2414693,62.0,58.9,65.2,1.6,0.8%
,"Male","M","2020","2020","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Male","M","2021","2021","< 1 year","1",Suppressed,1821502,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Male","M","2021","2021","1-4 years","1-4",12,7802850,0.2,0.1,0.3,0.0,0.0%
,"Male","M","2021","2021","5-14 years","5-14",29,21364381,0.1,0.1,0.2,0.0,0.0%
,"Male","M","2021","2021","15-24 years","15-24",58,21996214,0.3,0.2,0.3,0.0,0.0%
,"Male","M","2021","2021","25-34 years","25-34",135,23053362,0.6,0.5,0.7,0.1,0.1%
,"Male","M","2021","2021","35-44 years","35-44",323,21857613,1.5,1.3,1.6,0.1,0.2%
,"Male","M","2021","2021","45-54 years","45-54",961,20311959,4.7,4.4,5.0,0.2,0.5%
,"Male","M","2021","2021","55-64 years","55-64",3032,20963318,14.5,13.9,15.0,0.3,1.6%
,"Male","M","2021","2021","65-74 years","65-74",4865,15869086,30.7,29.8,31.5,0.4,2.5%
,"Male","M","2021","2021","75-84 years","75-84",3862,7168514,53.9,52.2,55.6,0.9,2.0%
,"Male","M","2021","2021","85+ years","85+",1527,2175943,70.2,66.7,73.7,1.8,0.8%
,"Male","M","2021","2021","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Male","M","2022","2022","< 1 year","1",Suppressed,1882867,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Male","M","2022","2022","1-4 years","1-4",Suppressed,7592228,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Male","M","2022","2022","5-14 years","5-14",24,20933799,0.1,0.1,0.2,0.0,0.0%
,"Male","M","2022","2022","15-24 years","15-24",59,22684031,0.3,0.2,0.3,0.0,0.0%
,"Male","M","2022","2022","25-34 years","25-34",144,23189562,0.6,0.5,0.7,0.1,0.1%
,"Male","M","2022","2022","35-44 years","35-44",355,22120189,1.6,1.4,1.8,0.1,0.2%
,"Male","M","2022","2022","45-54 years","45-54",987,20279630,4.9,4.6,5.2,0.2,0.5%
,"Male","M","2022","2022","55-64 years","55-64",3163,20671903,15.3,14.8,15.8,0.3,1.6%
,"Male","M","2022","2022","65-74 years","65-74",5284,15910672,33.2,32.3,34.1,0.5,2.7%
,"Male","M","2022","2022","75-84 years","75-84",4254,7734845,55.0,53.3,56.7,0.8,2.2%
