"Notes","Year","Year Code","Sex","Sex Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"2002","2002","Female","F","25-34 years","25-34",116,19518779,0.6,0.5,0.7,0.1,0.0%
,"2002","2002","Female","F","35-44 years","35-44",309,22439455,1.4,1.2,1.5,0.1,0.1%
,"2002","2002","Female","F","45-54 years","45-54",817,20357603,4.0,3.7,4.3,0.1,0.2%
,"2002","2002","Female","F","55-64 years","55-64",1323,13853658,9.5,9.0,10.1,0.3,0.3%
,"2002","2002","Female","F","65-74 years","65-74",1989,10016658,19.9,19.0,20.7,0.4,0.4%
,"2002","2002","Female","F","75-84 years","75-84",2108,7664104,27.5,26.3,28.7,0.6,0.5%
,"2002","2002","Female","F","85+ years","85+",946,3077446,30.7,28.8,32.7,1.0,0.2%
,"2002","2002","Female","F","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"2002","2002","Male","M","< 1 year","1",Suppressed,2018522,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2002","2002","Male","M","1-4 years","1-4",20,7913020,0.3,0.2,0.4,0.1,0.0%
,"2002","2002","Male","M","5-14 years","5-14",42,21062681,0.2,0.1,0.3,0.0,0.0%
,"2002","2002","Male","M","15-24 years","15-24",96,20956011,0.5,0.4,0.6,0.0,0.0%
,"2002","2002","Male","M","25-34 years","25-34",128,19830867,0.6,0.5,0.8,0.1,0.0%
,"2002","2002","Male","M","35-44 years","35-44",273,22201194,1.2,1.1,1.4,0.1,0.1%
,"2002","2002","Male","M","45-54 years","45-54",860,19634591,4.4,4.1,4.7,0.1,0.2%
,"2002","2002","Male","M","55-64 years","55-64",1727,12849674,13.4,12.8,14.1,0.3,0.4%
,"2002","2002","Male","M","65-74 years","65-74",2636,8371877,31.5,30.3,32.7,0.6,0.6%
,"2002","2002","Male","M","75-84 years","75-84",2535,5100760,49.7,47.8,51.6,1.0,0.6%
,"2002","2002","Male","M","85+ years","85+",828,1291362,64.1,59.8,68.5,2.2,0.2%
,"2002","2002","Male","M","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"2003","2003","Female","F","< 1 year","1",Suppressed,1942634,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2003","2003","Female","F","1-4 years","1-4",20,7636693,0.3,0.2,0.4,0.1,0.0%
,"2003","2003","Female","F","5-14 years","5-14",35,20026122,0.2,0.1,0.2,0.0,0.0%
,"2003","2003","Female","F","15-24 years","15-24",62,20180290,0.3,0.2,0.4,0.0,0.0%
,"2003","2003","Female","F","25-34 years","25-34",97,19500922,0.5,0.4,0.6,0.1,0.0%
,"2003","2003","Female","F","35-44 years","35-44",348,22206703,1.6,1.4,1.7,0.1,0.1%
,"2003","2003","Female","F","45-54 years","45-54",858,20776919,4.1,3.9,4.4,0.1,0.2%
,"2003","2003","Female","F","55-64 years","55-64",1415,14519419,9.7,9.2,10.3,0.3,0.3%
,"2003","2003","Female","F","65-74 years","65-74",1937,10048202,19.3,18.4,20.1,0.4,0.4%
,"2003","2003","Female","F","75-84 years","75-84",2168,7713157,28.1,26.9,29.3,0.6,0.5%
,"2003","2003","Female","F","85+ years","85+",930,3127975,29.7,27.8,31.6,1.0,0.2%
,"2003","2003","Female","F","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"2003","2003","Male","M","< 1 year","1",Suppressed,2033237,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2003","2003","Male","M","1-4 years","1-4",16,7979882,Unreliable,0.1,0.3,0.1,0.0%
,"2003","2003","Male","M","5-14 years","5-14",32,21010082,0.2,0.1,0.2,0.0,0.0%
,"2003","2003","Male","M","15-24 years","15-24",85,21208564,0.4,0.3,0.5,0.0,0.0%
,"2003","2003","Male","M","25-34 years","25-34",139,19742873,0.7,0.6,0.8,0.1,0.0%
,"2003","2003","Male","M","35-44 years","35-44",296,21947503,1.3,1.2,1.5,0.1,0.1%
,"2003","2003","Male","M","45-54 years","45-54",862,20043035,4.3,4.0,4.6,0.1,0.2%
,"2003","2003","Male","M","55-64 years","55-64",1720,13489526,12.8,12.1,13.4,0.3,0.4%
,"2003","2003","Male","M","65-74 years","65-74",2590,8452713,30.6,29.5,31.8,0.6,0.6%
,"2003","2003","Male","M","75-84 years","75-84",2622,5183281,50.6,48.6,52.5,1.0,0.6%
,"2003","2003","Male","M","85+ years","85+",834,1338201,62.3,58.1,66.6,2.2,0.2%
,"2003","2003","Male","M","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"2004","2004","Female","F","< 1 year","1",Suppressed,1962216,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2004","2004","Female","F","1-4 years","1-4",10,7713175,Unreliable,0.1,0.2,0.0,0.0%
,"2004","2004","Female","F","5-14 years","5-14",29,19946937,0.1,0.1,0.2,0.0,0.0%
,"2004","2004","Female","F","15-24 years","15-24",59,20433434,0.3,0.2,0.4,0.0,0.0%
,"2004","2004","Female","F","25-34 years","25-34",122,19520225,0.6,0.5,0.7,0.1,0.0%
,"2004","2004","Female","F","35-44 years","35-44",302,22015734,1.4,1.2,1.5,0.1,0.1%
,"2004","2004","Female","F","45-54 years","45-54",836,21184129,3.9,3.7,4.2,0.1,0.2%
,"2004","2004","Female","F","55-64 years","55-64",1533,15185747,10.1,9.6,10.6,0.3,0.3%
,"2004","2004","Female","F","65-74 years","65-74",1968,10110363,19.5,18.6,20.3,0.4,0.4%
