"Notes","Sex","Sex Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"Female","F","2022","2022","45-54 years","45-54",152,20152015,0.8,0.6,0.9,0.1,0.4%
,"Female","F","2022","2022","55-64 years","55-64",366,21413534,1.7,1.5,1.9,0.1,0.9%
,"Female","F","2022","2022","65-74 years","65-74",735,17877767,4.1,3.8,4.4,0.2,1.8%
,"Female","F","2022","2022","75-84 years","75-84",661,9785700,6.8,6.2,7.3,0.3,1.6%
,"Female","F","2022","2022","85+ years","85+",272,4202041,6.5,5.7,7.2,0.4,0.7%
,"Female","F","2022","2022","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Female","F","2023","2023","< 1 year","1",0,1784146,0.0,0.0,0.0,0.0,0.0%
,"Female","F","2023","2023","1-4 years","1-4",Suppressed,7267615,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2023","2023","5-14 years","5-14",21,20014683,0.1,0.1,0.2,0.0,0.1%
,"Female","F","2023","2023","15-24 years","15-24",23,21463206,0.1,0.1,0.2,0.0,0.1%
,"Female","F","2023","2023","25-34 years","25-34",48,22483329,0.2,0.2,0.3,0.0,0.1%
,"Female","F","2023","2023","35-44 years","35-44",61,22028457,0.3,0.2,0.4,0.0,0.2%
,"Female","F","2023","2023","45-54 years","45-54",140,20306672,0.7,0.6,0.8,0.1,0.3%
,"Female","F","2023","2023","55-64 years","55-64",394,21350566,1.8,1.7,2.0,0.1,1.0%
,"Female","F","2023","2023","65-74 years","65-74",651,18350204,3.5,3.3,3.8,0.1,1.6%
,"Female","F","2023","2023","75-84 years","75-84",608,10205598,6.0,5.5,6.4,0.2,1.5%
,"Female","F","2023","2023","85+ years","85+",276,3911019,7.1,6.2,7.9,0.4,0.7%
,"Female","F","2023","2023","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Female","F","2024 ","2024","< 1 year","1",0,1768890,0.0,0.0,0.0,0.0,0.0%
,"Female","F","2024 ","2024","1-4 years","1-4",Suppressed,7329381,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2024 ","2024","5-14 years","5-14",14,20078036,0.1,0.0,0.1,0.0,0.0%
,"Female","F","2024 ","2024","15-24 years","15-24",25,21884177,0.1,0.1,0.2,0.0,0.1%
,"Female","F","2024 ","2024","25-34 years","25-34",36,22935413,0.2,0.1,0.2,0.0,0.1%
,"Female","F","2024 ","2024","35-44 years","35-44",68,22583276,0.3,0.2,0.4,0.0,0.2%
,"Female","F","2024 ","2024","45-54 years","45-54",146,20457911,0.7,0.6,0.8,0.1,0.4%
,"Female","F","2024 ","2024","55-64 years","55-64",339,21246717,1.6,1.4,1.8,0.1,0.8%
,"Female","F","2024 ","2024","65-74 years","65-74",637,18745293,3.4,3.1,3.7,0.1,1.6%
,"Female","F","2024 ","2024","75-84 years","75-84",657,10722882,6.1,5.7,6.6,0.2,1.6%
,"Female","F","2024 ","2024","85+ years","85+",271,4021130,6.7,5.9,7.5,0.4,0.7%
,"Female","F","2024 ","2024","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Male","M","2018","2018","< 1 year","1",0,1968505,0.0,0.0,0.0,0.0,0.0%
,"Male","M","2018","2018","1-4 years","1-4",Suppressed,8163697,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Male","M","2018","2018","5-14 years","5-14",16,20974830,0.1,0.0,0.1,0.0,0.0%
,"Male","M","2018","2018","15-24 years","15-24",46,21976455,0.2,0.2,0.3,0.0,0.1%
,"Male","M","2018","2018","25-34 years","25-34",60,23210709,0.3,0.2,0.3,0.0,0.1%
,"Male","M","2018","2018","35-44 years","35-44",100,20587600,0.5,0.4,0.6,0.0,0.2%
,"Male","M","2018","2018","45-54 years","45-54",216,20541202,1.1,0.9,1.2,0.1,0.5%
,"Male","M","2018","2018","55-64 years","55-64",680,20398863,3.3,3.1,3.6,0.1,1.7%
,"Male","M","2018","2018","65-74 years","65-74",1219,14246085,8.6,8.1,9.0,0.2,3.0%
,"Male","M","2018","2018","75-84 years","75-84",910,6735040,13.5,12.6,14.4,0.4,2.3%
,"Male","M","2018","2018","85+ years","85+",359,2325693,15.4,13.8,17.0,0.8,0.9%
,"Male","M","2018","2018","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Male","M","2019","2019","< 1 year","1",Suppressed,1935117,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Male","M","2019","2019","1-4 years","1-4",Suppressed,8074090,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Male","M","2019","2019","5-14 years","5-14",14,20941023,0.1,0.0,0.1,0.0,0.0%
,"Male","M","2019","2019","15-24 years","15-24",51,21810359,0.2,0.2,0.3,0.0,0.1%
,"Male","M","2019","2019","25-34 years","25-34",88,23359180,0.4,0.3,0.5,0.0,0.2%
,"Male","M","2019","2019","35-44 years","35-44",115,20792080,0.6,0.5,0.7,0.1,0.3%
,"Male","M","2019","2019","45-54 years","45-54",236,20171966,1.2,1.0,1.3,0.1,0.6%
,"Male","M","2019","2019","55-64 years","55-64",670,20499219,3.3,3.0,3.5,0.1,1.7%
,"Male","M","2019","2019","65-74 years","65-74",1091,14699579,7.4,7.0,7.9,0.2,2.7%
,"Male","M","2019","2019","75-84 years","75-84",970,6998223,13.9,13.0,14.7,0.4,2.4%
,"Male","M","2019","2019","85+ years","85+",383,2376488,16.1,14.5,17.7,0.8,0.9%
,"Male","M","2019","2019","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Male","M","2020","2020","< 1 year","1",Suppressed,1908141,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
