"Notes","Sex","Sex Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"Female","F","2023","2023","35-44 years","35-44",2626,22028457,11.9,11.5,12.4,0.2,0.2%
,"Female","F","2023","2023","45-54 years","45-54",5891,20306672,29.0,28.3,29.8,0.4,0.4%
,"Female","F","2023","2023","55-64 years","55-64",14846,21350566,69.5,68.4,70.7,0.6,0.9%
,"Female","F","2023","2023","65-74 years","65-74",25949,18350204,141.4,139.7,143.1,0.9,1.6%
,"Female","F","2023","2023","75-84 years","75-84",31092,10205598,304.7,301.3,308.0,1.7,2.0%
,"Female","F","2023","2023","85+ years","85+",27601,3911019,705.7,697.4,714.0,4.2,1.7%
,"Female","F","2023","2023","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Female","F","2024 ","2024","< 1 year","1",142,1768890,8.0,6.7,9.3,0.7,0.0%
,"Female","F","2024 ","2024","1-4 years","1-4",79,7329381,1.1,0.9,1.3,0.1,0.0%
,"Female","F","2024 ","2024","5-14 years","5-14",121,20078036,0.6,0.5,0.7,0.1,0.0%
,"Female","F","2024 ","2024","15-24 years","15-24",281,21884177,1.3,1.1,1.4,0.1,0.0%
,"Female","F","2024 ","2024","25-34 years","25-34",921,22935413,4.0,3.8,4.3,0.1,0.1%
,"Female","F","2024 ","2024","35-44 years","35-44",2539,22583276,11.2,10.8,11.7,0.2,0.2%
,"Female","F","2024 ","2024","45-54 years","45-54",5758,20457911,28.1,27.4,28.9,0.4,0.4%
,"Female","F","2024 ","2024","55-64 years","55-64",14188,21246717,66.8,65.7,67.9,0.6,0.9%
,"Female","F","2024 ","2024","65-74 years","65-74",25783,18745293,137.5,135.9,139.2,0.9,1.6%
,"Female","F","2024 ","2024","75-84 years","75-84",31352,10722882,292.4,289.1,295.6,1.7,2.0%
,"Female","F","2024 ","2024","85+ years","85+",27106,4021130,674.1,666.1,682.1,4.1,1.7%
,"Female","F","2024 ","2024","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Male","M","2018","2018","< 1 year","1",206,1968505,10.5,9.0,11.9,0.7,0.0%
,"Male","M","2018","2018","1-4 years","1-4",75,8163697,0.9,0.7,1.2,0.1,0.0%
,"Male","M","2018","2018","5-14 years","5-14",111,20974830,0.5,0.4,0.6,0.1,0.0%
,"Male","M","2018","2018","15-24 years","15-24",354,21976455,1.6,1.4,1.8,0.1,0.0%
,"Male","M","2018","2018","25-34 years","25-34",1108,23210709,4.8,4.5,5.1,0.1,0.1%
,"Male","M","2018","2018","35-44 years","35-44",2435,20587600,11.8,11.4,12.3,0.2,0.2%
,"Male","M","2018","2018","45-54 years","45-54",6595,20541202,32.1,31.3,32.9,0.4,0.4%
,"Male","M","2018","2018","55-64 years","55-64",17047,20398863,83.6,82.3,84.8,0.6,1.1%
,"Male","M","2018","2018","65-74 years","65-74",25399,14246085,178.3,176.1,180.5,1.1,1.6%
,"Male","M","2018","2018","75-84 years","75-84",26905,6735040,399.5,394.7,404.3,2.4,1.7%
,"Male","M","2018","2018","85+ years","85+",22024,2325693,947.0,934.5,959.5,6.4,1.4%
,"Male","M","2018","2018","Not Stated","NS",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Male","M","2019","2019","< 1 year","1",173,1935117,8.9,7.6,10.3,0.7,0.0%
,"Male","M","2019","2019","1-4 years","1-4",73,8074090,0.9,0.7,1.1,0.1,0.0%
,"Male","M","2019","2019","5-14 years","5-14",102,20941023,0.5,0.4,0.6,0.0,0.0%
,"Male","M","2019","2019","15-24 years","15-24",367,21810359,1.7,1.5,1.9,0.1,0.0%
,"Male","M","2019","2019","25-34 years","25-34",1194,23359180,5.1,4.8,5.4,0.1,0.1%
,"Male","M","2019","2019","35-44 years","35-44",2485,20792080,12.0,11.5,12.4,0.2,0.2%
,"Male","M","2019","2019","45-54 years","45-54",6295,20171966,31.2,30.4,32.0,0.4,0.4%
,"Male","M","2019","2019","55-64 years","55-64",16657,20499219,81.3,80.0,82.5,0.6,1.0%
,"Male","M","2019","2019","65-74 years","65-74",25213,14699579,171.5,169.4,173.6,1.1,1.6%
,"Male","M","2019","2019","75-84 years","75-84",26935,6998223,384.9,380.3,389.5,2.3,1.7%
,"Male","M","2019","2019","85+ years","85+",21082,2376488,887.1,875.1,899.1,6.1,1.3%
,"Male","M","2019","2019","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suppressed
,"Male","M","2020","2020","< 1 year","1",182,1908141,9.5,8.2,10.9,0.7,0.0%
,"Male","M","2020","2020","1-4 years","1-4",78,7953016,1.0,0.8,1.2,0.1,0.0%
,"Male","M","2020","2020","5-14 years","5-14",111,20941721,0.5,0.4,0.6,0.1,0.0%
,"Male","M","2020","2020","15-24 years","15-24",392,21727443,1.8,1.6,2.0,0.1,0.0%
,"Male","M","2020","2020","25-34 years","25-34",1385,23444379,5.9,5.6,6.2,0.2,0.1%
,"Male","M","2020","2020","35-44 years","35-44",3430,21045868,16.3,15.8,16.8,0.3,0.2%
,"Male","M","2020","2020","45-54 years","45-54",8518,19924692,42.8,41.8,43.7,0.5,0.5%
,"Male","M","2020","2020","55-64 years","55-64",21376,20489434,104.3,102.9,105.7,0.7,1.3%
,"Male","M","2020","2020","65-74 years","65-74",33004,15183540,217.4,215.0,219.7,1.2,2.1%
,"Male","M","2020","2020","75-84 years","75-84",32744,7223275,453.3,448.4,458.2,2.5,2.1%
,"Male","M","2020","2020","85+ years","85+",23228,2414693,961.9,949.6,974.3,6.3,1.5%
,"Male","M","2020","2020","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suppressed
,"Male","M","2021","2021","< 1 year","1",200,1821502,11.0,9.5,12.5,0.8,0.0%
,"Male","M","2021","2021","1-4 years","1-4",88,7802850,1.1,0.9,1.4,0.1,0.0%
,"Male","M","2021","2021","5-14 years","5-14",110,21364381,0.5,0.4,0.6,0.0,0.0%
,"Male","M","2021","2021","15-24 years","15-24",457,21996214,2.1,1.9,2.3,0.1,0.0%
,"Male","M","2021","2021","25-34 years","25-34",1750,23053362,7.6,7.2,7.9,0.2,0.1%
