"Notes","Sex","Sex Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"Female","F","2020","2020","25-34 years","25-34",215,22625267,1.0,0.8,1.1,0.1,0.1%
,"Female","F","2020","2020","35-44 years","35-44",404,21090324,1.9,1.7,2.1,0.1,0.1%
,"Female","F","2020","2020","45-54 years","45-54",934,20441441,4.6,4.3,4.9,0.1,0.2%
,"Female","F","2020","2020","55-64 years","55-64",2683,21914243,12.2,11.8,12.7,0.2,0.7%
,"Female","F","2020","2020","65-74 years","65-74",5780,17365858,33.3,32.4,34.1,0.4,1.4%
,"Female","F","2020","2020","75-84 years","75-84",7835,9228272,84.9,83.0,86.8,1.0,2.0%
,"Female","F","2020","2020","85+ years","85+",6456,4243727,152.1,148.4,155.8,1.9,1.6%
,"Female","F","2020","2020","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Female","F","2021","2021","< 1 year","1",Suppressed,1742991,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2021","2021","1-4 years","1-4",33,7459995,0.4,0.3,0.6,0.1,0.0%
,"Female","F","2021","2021","5-14 years","5-14",74,20374951,0.4,0.3,0.5,0.0,0.0%
,"Female","F","2021","2021","15-24 years","15-24",118,21092449,0.6,0.5,0.7,0.1,0.0%
,"Female","F","2021","2021","25-34 years","25-34",215,22441743,1.0,0.8,1.1,0.1,0.1%
,"Female","F","2021","2021","35-44 years","35-44",386,21546241,1.8,1.6,2.0,0.1,0.1%
,"Female","F","2021","2021","45-54 years","45-54",908,20376477,4.5,4.2,4.7,0.1,0.2%
,"Female","F","2021","2021","55-64 years","55-64",2647,21839746,12.1,11.7,12.6,0.2,0.7%
,"Female","F","2021","2021","65-74 years","65-74",5931,17797036,33.3,32.5,34.2,0.4,1.5%
,"Female","F","2021","2021","75-84 years","75-84",7785,9037561,86.1,84.2,88.1,1.0,1.9%
,"Female","F","2021","2021","85+ years","85+",6282,3799813,165.3,161.2,169.4,2.1,1.6%
,"Female","F","2021","2021","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Female","F","2022","2022","< 1 year","1",10,1800246,0.6,0.3,1.0,0.2,0.0%
,"Female","F","2022","2022","1-4 years","1-4",52,7263012,0.7,0.5,0.9,0.1,0.0%
,"Female","F","2022","2022","5-14 years","5-14",93,19965235,0.5,0.4,0.6,0.0,0.0%
,"Female","F","2022","2022","15-24 years","15-24",147,21657540,0.7,0.6,0.8,0.1,0.0%
,"Female","F","2022","2022","25-34 years","25-34",247,22311738,1.1,1.0,1.2,0.1,0.1%
,"Female","F","2022","2022","35-44 years","35-44",399,21575176,1.8,1.7,2.0,0.1,0.1%
,"Female","F","2022","2022","45-54 years","45-54",873,20152015,4.3,4.0,4.6,0.1,0.2%
,"Female","F","2022","2022","55-64 years","55-64",2559,21413534,12.0,11.5,12.4,0.2,0.6%
,"Female","F","2022","2022","65-74 years","65-74",5629,17877767,31.5,30.7,32.3,0.4,1.4%
,"Female","F","2022","2022","75-84 years","75-84",8150,9785700,83.3,81.5,85.1,0.9,2.0%
,"Female","F","2022","2022","85+ years","85+",6289,4202041,149.7,146.0,153.4,1.9,1.6%
,"Female","F","2022","2022","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Female","F","2023","2023","< 1 year","1",Suppressed,1784146,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2023","2023","1-4 years","1-4",49,7267615,0.7,0.5,0.9,0.1,0.0%
,"Female","F","2023","2023","5-14 years","5-14",84,20014683,0.4,0.3,0.5,0.0,0.0%
,"Female","F","2023","2023","15-24 years","15-24",145,21463206,0.7,0.6,0.8,0.1,0.0%
,"Female","F","2023","2023","25-34 years","25-34",183,22483329,0.8,0.7,0.9,0.1,0.0%
,"Female","F","2023","2023","35-44 years","35-44",342,22028457,1.6,1.4,1.7,0.1,0.1%
,"Female","F","2023","2023","45-54 years","45-54",858,20306672,4.2,3.9,4.5,0.1,0.2%
,"Female","F","2023","2023","55-64 years","55-64",2477,21350566,11.6,11.1,12.1,0.2,0.6%
,"Female","F","2023","2023","65-74 years","65-74",5552,18350204,30.3,29.5,31.1,0.4,1.4%
,"Female","F","2023","2023","75-84 years","75-84",8168,10205598,80.0,78.3,81.8,0.9,2.0%
,"Female","F","2023","2023","85+ years","85+",6157,3911019,157.4,153.5,161.4,2.0,1.5%
,"Female","F","2023","2023","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Female","F","2024 ","2024","< 1 year","1",Suppressed,1768890,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2024 ","2024","1-4 years","1-4",42,7329381,0.6,0.4,0.8,0.1,0.0%
,"Female","F","2024 ","2024","5-14 years","5-14",82,20078036,0.4,0.3,0.5,0.0,0.0%
,"Female","F","2024 ","2024","15-24 years","15-24",116,21884177,0.5,0.4,0.6,0.0,0.0%
,"Female","F","2024 ","2024","25-34 years","25-34",227,22935413,1.0,0.9,1.1,0.1,0.1%
,"Female","F","2024 ","2024","35-44 years","35-44",356,22583276,1.6,1.4,1.7,0.1,0.1%
,"Female","F","2024 ","2024","45-54 years","45-54",792,20457911,3.9,3.6,4.1,0.1,0.2%
,"Female","F","2024 ","2024","55-64 years","55-64",2313,21246717,10.9,10.4,11.3,0.2,0.6%
,"Female","F","2024 ","2024","65-74 years","65-74",5286,18745293,28.2,27.4,29.0,0.4,1.3%
,"Female","F","2024 ","2024","75-84 years","75-84",8384,10722882,78.2,76.5,79.9,0.9,2.1%
,"Female","F","2024 ","2024","85+ years","85+",6284,4021130,156.3,152.4,160.1,2.0,1.6%
,"Female","F","2024 ","2024","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Male","M","2018","2018","< 1 year","1",Suppressed,1968505,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Male","M","2018","2018","1-4 years","1-4",63,8163697,0.8,0.6,1.0,0.1,0.0%
,"Male","M","2018","2018","5-14 years","5-14",106,20974830,0.5,0.4,0.6,0.0,0.0%
,"Male","M","2018","2018","15-24 years","15-24",275,21976455,1.3,1.1,1.4,0.1,0.1%
,"Male","M","2018","2018","25-34 years","25-34",358,23210709,1.5,1.4,1.7,0.1,0.1%
,"Male","M","2018","2018","35-44 years","35-44",558,20587600,2.7,2.5,2.9,0.1,0.1%
,"Male","M","2018","2018","45-54 years","45-54",1495,20541202,7.3,6.9,7.6,0.2,0.4%
,"Male","M","2018","2018","55-64 years","55-64",4626,20398863,22.7,22.0,23.3,0.3,1.2%
,"Male","M","2018","2018","65-74 years","65-74",8808,14246085,61.8,60.5,63.1,0.7,2.2%
,"Male","M","2018","2018","75-84 years","75-84",10422,6735040,154.7,151.8,157.7,1.5,2.6%
,"Male","M","2018","2018","85+ years","85+",6335,2325693,272.4,265.7,279.1,3.4,1.6%
,"Male","M","2018","2018","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Male","M","2019","2019","< 1 year","1",Suppressed,1935117,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Male","M","2019","2019","1-4 years","1-4",45,8074090,0.6,0.4,0.7,0.1,0.0%
,"Male","M","2019","2019","5-14 years","5-14",112,20941023,0.5,0.4,0.6,0.1,0.0%
,"Male","M","2019","2019","15-24 years","15-24",244,21810359,1.1,1.0,1.3,0.1,0.1%
,"Male","M","2019","2019","25-34 years","25-34",365,23359180,1.6,1.4,1.7,0.1,0.1%
,"Male","M","2019","2019","35-44 years","35-44",605,20792080,2.9,2.7,3.1,0.1,0.2%
,"Male","M","2019","2019","45-54 years","45-54",1447,20171966,7.2,6.8,7.5,0.2,0.4%
,"Male","M","2019","2019","55-64 years","55-64",4431,20499219,21.6,21.0,22.3,0.3,1.1%
,"Male","M","2019","2019","65-74 years","65-74",8745,14699579,59.5,58.2,60.7,0.6,2.2%
,"Male","M","2019","2019","75-84 years","75-84",10547,6998223,150.7,147.8,153.6,1.5,2.6%
,"Male","M","2019","2019","85+ years","85+",6319,2376488,265.9,259.3,272.5,3.3,1.6%
,"Male","M","2019","2019","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Male","M","2020","2020","< 1 year","1",Suppressed,1908141,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Male","M","2020","2020","1-4 years","1-4",44,7953016,0.6,0.4,0.7,0.1,0.0%
,"Male","M","2020","2020","5-14 years","5-14",102,20941721,0.5,0.4,0.6,0.0,0.0%
,"Male","M","2020","2020","15-24 years","15-24",200,21727443,0.9,0.8,1.0,0.1,0.0%
,"Male","M","2020","2020","25-34 years","25-34",331,23444379,1.4,1.3,1.6,0.1,0.1%
,"Male","M","2020","2020","35-44 years","35-44",573,21045868,2.7,2.5,2.9,0.1,0.1%
,"Male","M","2020","2020","45-54 years","45-54",1421,19924692,7.1,6.8,7.5,0.2,0.4%
,"Male","M","2020","2020","55-64 years","55-64",4353,20489434,21.2,20.6,21.9,0.3,1.1%
,"Male","M","2020","2020","65-74 years","65-74",8931,15183540,58.8,57.6,60.0,0.6,2.2%
,"Male","M","2020","2020","75-84 years","75-84",10810,7223275,149.7,146.8,152.5,1.4,2.7%
,"Male","M","2020","2020","85+ years","85+",6396,2414693,264.9,258.4,271.4,3.3,1.6%
,"Male","M","2020","2020","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suppressed
,"Male","M","2021","2021","< 1 year","1",Suppressed,1821502,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
