"Notes","Sex","Sex Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"Female","F","2024 ","2024","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Male","M","2018","2018","< 1 year","1",216,1968505,11.0,9.5,12.4,0.7,0.0%
,"Male","M","2018","2018","1-4 years","1-4",79,8163697,1.0,0.8,1.2,0.1,0.0%
,"Male","M","2018","2018","5-14 years","5-14",116,20974830,0.6,0.5,0.7,0.1,0.0%
,"Male","M","2018","2018","15-24 years","15-24",360,21976455,1.6,1.5,1.8,0.1,0.0%
,"Male","M","2018","2018","25-34 years","25-34",1126,23210709,4.9,4.6,5.1,0.1,0.1%
,"Male","M","2018","2018","35-44 years","35-44",2466,20587600,12.0,11.5,12.5,0.2,0.2%
,"Male","M","2018","2018","45-54 years","45-54",6659,20541202,32.4,31.6,33.2,0.4,0.4%
,"Male","M","2018","2018","55-64 years","55-64",17172,20398863,84.2,82.9,85.4,0.6,1.1%
,"Male","M","2018","2018","65-74 years","65-74",25557,14246085,179.4,177.2,181.6,1.1,1.6%
,"Male","M","2018","2018","75-84 years","75-84",27053,6735040,401.7,396.9,406.5,2.4,1.7%
,"Male","M","2018","2018","85+ years","85+",22150,2325693,952.4,939.9,964.9,6.4,1.4%
,"Male","M","2018","2018","Not Stated","NS",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Male","M","2019","2019","< 1 year","1",182,1935117,9.4,8.0,10.8,0.7,0.0%
,"Male","M","2019","2019","1-4 years","1-4",76,8074090,0.9,0.7,1.2,0.1,0.0%
,"Male","M","2019","2019","5-14 years","5-14",108,20941023,0.5,0.4,0.6,0.0,0.0%
,"Male","M","2019","2019","15-24 years","15-24",380,21810359,1.7,1.6,1.9,0.1,0.0%
,"Male","M","2019","2019","25-34 years","25-34",1205,23359180,5.2,4.9,5.4,0.1,0.1%
,"Male","M","2019","2019","35-44 years","35-44",2505,20792080,12.0,11.6,12.5,0.2,0.2%
,"Male","M","2019","2019","45-54 years","45-54",6355,20171966,31.5,30.7,32.3,0.4,0.4%
,"Male","M","2019","2019","55-64 years","55-64",16769,20499219,81.8,80.6,83.0,0.6,1.0%
